"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2021","288,500","286,000","292,000","286,000","131.19K","1.76%"
"08/23/2021","283,500","274,500","284,500","274,500","139.42K","3.47%"
"08/22/2021","274,000","274,000","274,000","274,000","","0.00%"
"08/20/2021","274,000","284,000","290,500","267,500","372.14K","-3.86%"
"08/19/2021","285,000","290,500","294,000","285,000","154.11K","-2.73%"
"08/18/2021","293,000","289,500","295,000","282,000","172.83K","0.51%"
"08/17/2021","291,500","299,500","303,500","289,000","219.78K","-2.51%"
"08/16/2021","299,000","299,000","299,000","299,000","","0.00%"
"08/13/2021","299,000","301,000","303,000","296,500","157.85K","-1.48%"
"08/12/2021","303,500","304,000","305,500","299,500","158.35K","0.83%"
"08/11/2021","301,000","312,500","313,000","299,000","238.21K","-3.99%"
"08/10/2021","313,500","308,000","316,000","306,500","258.07K","1.79%"
"08/09/2021","308,000","307,500","311,500","304,000","188.16K","-0.65%"
"08/08/2021","310,000","310,000","310,000","310,000","","0.00%"
"08/06/2021","310,000","303,500","310,500","298,000","324.56K","3.85%"
"08/05/2021","298,500","297,000","300,500","295,500","161.75K","1.02%"
"08/04/2021","295,500","291,500","297,500","290,000","130.76K","1.37%"
"08/03/2021","291,500","295,000","301,000","289,000","208.92K","-1.02%"
"08/02/2021","294,500","292,500","299,000","291,000","195.70K","1.73%"
"08/01/2021","289,500","289,500","289,500","289,500","","0.00%"
"07/30/2021","289,500","296,500","297,000","289,500","230.23K","-2.53%"
"07/29/2021","297,000","299,500","302,000","295,000","158.80K","-0.67%"
"07/28/2021","299,000","299,000","303,500","297,500","151.98K","0.17%"
"07/27/2021","298,500","301,000","302,000","296,500","127.84K","-0.17%"
"07/26/2021","299,000","305,000","307,000","298,500","168.16K","-1.32%"
"07/25/2021","303,000","303,000","303,000","303,000","","0.00%"
"07/23/2021","303,000","300,500","306,500","299,000","193.93K","0.50%"
"07/22/2021","301,500","301,500","306,500","298,500","252.93K","1.01%"
"07/21/2021","298,500","311,000","312,000","296,500","386.11K","-2.45%"
"07/20/2021","306,000","311,500","318,500","299,000","479.10K","-2.86%"
"07/19/2021","315,000","317,000","317,500","310,500","207.60K","-0.79%"
"07/18/2021","317,500","317,500","317,500","317,500","","0.00%"
"07/16/2021","317,500","319,000","319,000","314,500","225.62K","-0.63%"
"07/15/2021","319,500","320,000","322,000","315,500","236.13K","0.16%"
"07/14/2021","319,000","312,000","323,000","309,000","528.18K","3.24%"
"07/13/2021","309,000","306,500","315,000","306,000","404.02K","0.65%"
"07/12/2021","307,000","310,000","314,500","302,500","384.81K","-0.32%"
"07/11/2021","308,000","308,000","308,000","308,000","","0.00%"
"07/09/2021","308,000","291,500","310,000","289,000","660.65K","4.76%"
"07/08/2021","294,000","298,500","301,500","290,000","367.22K","-1.18%"
"07/07/2021","297,500","303,000","304,000","297,000","366.90K","-1.49%"
"07/06/2021","302,000","307,500","308,500","300,500","318.23K","-1.47%"
"07/05/2021","306,500","306,000","315,000","303,000","436.06K","1.16%"
"07/04/2021","303,000","303,000","303,000","303,000","","0.00%"
"07/02/2021","303,000","302,000","305,500","296,500","652.45K","0.33%"
"07/01/2021","302,000","293,500","304,500","292,500","731.63K","3.25%"
"06/30/2021","292,500","290,500","298,500","289,000","996.88K","1.21%"
"06/29/2021","289,000","288,500","294,500","286,500","1.95M","-7.37%"
"06/28/2021","312,000","310,500","317,000","307,500","262.11K","-0.64%"
"06/27/2021","314,000","314,000","314,000","314,000","","0.00%"
"06/25/2021","314,000","326,000","326,500","312,000","352.93K","-2.48%"
"06/24/2021","322,000","326,000","329,500","317,500","373.11K","0.16%"
"06/23/2021","321,500","334,500","337,000","318,500","673.93K","-0.92%"
"06/22/2021","324,500","311,000","324,500","311,000","543.67K","5.36%"
"06/21/2021","308,000","313,000","321,000","299,500","552.88K","-1.60%"
"06/20/2021","313,000","313,000","313,000","313,000","","0.00%"
"06/18/2021","313,000","298,500","326,500","297,500","1.25M","5.39%"
"06/17/2021","297,000","292,000","301,000","289,000","465.56K","1.71%"
"06/16/2021","292,000","290,500","298,000","287,000","426.24K","1.04%"
"06/15/2021","289,000","285,000","293,000","279,500","409.55K","2.48%"
"06/14/2021","282,000","277,000","286,000","276,500","450.05K","2.36%"
"06/13/2021","275,500","275,500","275,500","275,500","","0.00%"
"06/11/2021","275,500","272,500","277,500","271,500","305.32K","1.10%"
"06/10/2021","272,500","262,000","279,000","261,500","837.85K","4.01%"
"06/09/2021","262,000","265,000","265,000","261,000","165.29K","-1.13%"
"06/08/2021","265,000","265,000","267,000","263,500","152.43K","-0.19%"
"06/07/2021","265,500","267,000","268,000","261,000","152.49K","-0.19%"
"06/04/2021","266,000","268,500","269,000","260,000","283.20K","-1.30%"
"06/03/2021","269,500","264,000","274,000","262,500","404.54K","2.28%"
"06/02/2021","263,500","263,000","266,500","261,500","203.05K","0.96%"
"06/01/2021","261,000","266,000","266,500","258,000","182.15K","-1.51%"
"05/31/2021","265,000","263,500","267,000","261,500","223.33K","1.53%"
"05/30/2021","261,000","261,000","261,000","261,000","","0.00%"
"05/28/2021","261,000","255,000","263,000","254,500","272.19K","3.16%"
"05/27/2021","253,000","259,500","260,000","252,000","1.02M","-2.32%"
"05/26/2021","259,000","261,500","264,000","256,500","255.12K","-0.58%"
"05/25/2021","260,500","265,000","266,000","255,000","305.55K","-1.14%"
"05/24/2021","263,500","263,000","272,000","261,000","490.08K","0.76%"
"05/23/2021","261,500","261,500","261,500","261,500","","0.00%"
"05/21/2021","261,500","268,000","272,000","257,500","355.55K","-1.69%"
"05/20/2021","266,000","261,000","266,000","255,000","339.70K","2.11%"
"05/19/2021","260,500","260,500","260,500","260,500","","0.00%"
"05/18/2021","260,500","250,000","260,500","249,000","393.88K","4.83%"
"05/17/2021","248,500","242,500","248,500","242,500","142.58K","2.47%"
"05/16/2021","242,500","242,500","242,500","242,500","","0.00%"
"05/14/2021","242,500","245,000","245,000","241,000","148.86K","0.83%"
"05/13/2021","240,500","242,000","246,000","238,000","247.08K","-2.24%"
"05/12/2021","246,000","259,000","264,000","244,500","379.83K","-5.02%"
"05/11/2021","259,000","258,000","261,000","253,500","193.29K","0.19%"
"05/10/2021","258,500","255,500","262,000","253,500","255.66K","2.38%"
"05/09/2021","252,500","252,500","252,500","252,500","","0.00%"
"05/07/2021","252,500","253,500","256,000","249,000","193.28K","0.60%"
"05/06/2021","251,000","240,000","251,000","237,000","263.00K","4.80%"
"05/05/2021","239,500","239,500","239,500","239,500","","0.00%"
"05/04/2021","239,500","237,000","240,500","234,000","194.27K","1.27%"
"05/03/2021","236,500","243,000","245,000","234,000","194.06K","-2.67%"
"05/02/2021","243,000","243,000","243,000","243,000","","0.00%"
"04/30/2021","243,000","244,500","249,000","240,000","182.37K","-0.21%"
"04/29/2021","243,500","247,000","247,500","242,000","174.99K","-0.20%"
"04/28/2021","244,000","257,000","258,500","242,000","409.36K","-4.69%"
"04/27/2021","256,000","260,000","264,500","255,000","233.38K","-1.16%"
"04/26/2021","259,000","260,000","262,500","255,500","215.60K","0.19%"
